epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6441.27,1.9301,1.0435,0.00576,0.90024,0.80821,0.87844,0.46435,1.72805,0.78334,0.00558,0.005842,0.005842,0.005842
44,6599.22,1.94232,1.02643,0.00567,0.90615,0.81131,0.88328,0.47709,1.67638,0.75351,0.00551,0.005743,0.005743,0.005743
45,6756.61,1.95879,1.01511,0.00566,0.87222,0.81227,0.87913,0.4637,1.73413,0.74966,0.00565,0.005644,0.005644,0.005644
46,6912.82,1.89908,1.00384,0.00565,0.91059,0.82338,0.88779,0.47466,1.71321,0.73115,0.00554,0.005545,0.005545,0.005545
47,7073.49,1.92618,1.01187,0.00574,0.90105,0.80884,0.8781,0.47106,1.69704,0.76391,0.00547,0.005446,0.005446,0.005446
48,7232.44,1.90492,1.00058,0.0057,0.89517,0.82329,0.88501,0.47752,1.69134,0.76078,0.0055,0.005347,0.005347,0.005347
49,7389.86,1.94693,1.00134,0.00553,0.89435,0.82258,0.88434,0.47878,1.6725,0.7496,0.00546,0.005248,0.005248,0.005248
50,7547.01,1.92684,0.9769,0.00557,0.88052,0.81918,0.87243,0.47559,1.67737,0.74839,0.00537,0.005149,0.005149,0.005149
51,7704.46,1.89099,0.97669,0.00552,0.90353,0.81649,0.88889,0.48231,1.68232,0.74015,0.00538,0.00505,0.00505,0.00505
52,7862.66,1.9163,0.9902,0.00548,0.88264,0.82437,0.88233,0.48163,1.66943,0.76315,0.00542,0.004951,0.004951,0.004951
53,8025.25,1.91366,0.96182,0.00557,0.89848,0.82765,0.89036,0.48159,1.66947,0.72805,0.00555,0.004852,0.004852,0.004852
54,8183.39,1.8996,0.95814,0.00546,0.89491,0.82394,0.88957,0.49203,1.64498,0.73815,0.00515,0.004753,0.004753,0.004753
55,8341.08,1.88804,0.94305,0.00537,0.88997,0.8387,0.89221,0.48867,1.65319,0.70874,0.00519,0.004654,0.004654,0.004654
56,8500.1,1.89246,0.9266,0.00537,0.90002,0.84029,0.8951,0.4863,1.68058,0.71115,0.00528,0.004555,0.004555,0.004555
57,8650.42,1.87733,0.94101,0.0054,0.91182,0.83734,0.90007,0.50512,1.61992,0.70036,0.00511,0.004456,0.004456,0.004456
58,8807.75,1.89017,0.93347,0.00532,0.91167,0.84208,0.89956,0.49615,1.6341,0.7015,0.0051,0.004357,0.004357,0.004357
59,8969.96,1.88669,0.92007,0.00532,0.9069,0.84513,0.90044,0.49878,1.65395,0.67545,0.00517,0.004258,0.004258,0.004258
60,9126.94,1.84746,0.9154,0.00526,0.9095,0.84211,0.90453,0.50591,1.63504,0.70128,0.00513,0.004159,0.004159,0.004159
61,9285.29,1.863,0.91959,0.00533,0.91796,0.83548,0.90406,0.50963,1.62533,0.68882,0.00505,0.00406,0.00406,0.00406
62,9443.28,1.88829,0.91028,0.00513,0.91394,0.85104,0.90713,0.51633,1.61968,0.65799,0.00504,0.003961,0.003961,0.003961
63,9601.17,1.87234,0.90522,0.00517,0.90568,0.85324,0.90569,0.50934,1.62117,0.66429,0.00498,0.003862,0.003862,0.003862
64,9760.34,1.86068,0.90928,0.00504,0.92743,0.83872,0.91099,0.51618,1.61215,0.65889,0.00497,0.003763,0.003763,0.003763
65,9920.14,1.83748,0.90873,0.00521,0.92593,0.83561,0.90511,0.51417,1.59812,0.65763,0.00494,0.003664,0.003664,0.003664
66,10077.2,1.84756,0.89319,0.00505,0.912,0.85573,0.9103,0.51951,1.59158,0.65471,0.00491,0.003565,0.003565,0.003565
67,10232.3,1.84186,0.88358,0.00514,0.92147,0.8445,0.91196,0.51473,1.60005,0.65254,0.00499,0.003466,0.003466,0.003466
68,10389.3,1.83283,0.85857,0.00503,0.92701,0.84702,0.91205,0.51919,1.58118,0.64448,0.00477,0.003367,0.003367,0.003367
69,10546.1,1.83918,0.88012,0.00511,0.92539,0.8494,0.9107,0.51754,1.59391,0.64723,0.00487,0.003268,0.003268,0.003268
70,10707.7,1.82939,0.88134,0.00522,0.92754,0.84462,0.91214,0.52974,1.57133,0.66057,0.00478,0.003169,0.003169,0.003169
71,10863.9,1.8129,0.86345,0.00507,0.92318,0.84795,0.91221,0.52211,1.57676,0.64719,0.0048,0.00307,0.00307,0.00307
72,11020.2,1.81894,0.84927,0.00504,0.92596,0.84645,0.91234,0.52377,1.59218,0.63861,0.00482,0.002971,0.002971,0.002971
73,11177.4,1.80096,0.85057,0.00497,0.93083,0.84253,0.91198,0.52448,1.5857,0.64881,0.00482,0.002872,0.002872,0.002872
74,11333.6,1.81523,0.85001,0.005,0.92677,0.84806,0.91626,0.53349,1.56966,0.62258,0.0048,0.002773,0.002773,0.002773
75,11489.9,1.80671,0.85335,0.00492,0.93419,0.8484,0.91513,0.53215,1.57281,0.62851,0.00481,0.002674,0.002674,0.002674
76,11655.4,1.81071,0.84752,0.0049,0.92702,0.846,0.91472,0.53336,1.55964,0.63404,0.00473,0.002575,0.002575,0.002575
77,11950.3,1.80884,0.84764,0.00485,0.93107,0.86061,0.91629,0.5321,1.56995,0.62769,0.00473,0.002476,0.002476,0.002476
78,12105,1.81477,0.83563,0.00488,0.9304,0.8466,0.91487,0.53235,1.57692,0.62159,0.00476,0.002377,0.002377,0.002377
79,12260.8,1.77486,0.84069,0.00499,0.93944,0.85006,0.91811,0.53486,1.57303,0.62118,0.00473,0.002278,0.002278,0.002278
80,12417.4,1.79379,0.81332,0.00472,0.92953,0.85383,0.91948,0.5392,1.55099,0.6199,0.00469,0.002179,0.002179,0.002179
81,12578.3,1.77079,0.8265,0.00476,0.93358,0.85463,0.92029,0.54032,1.56319,0.6101,0.0047,0.00208,0.00208,0.00208
82,12735.2,1.751,0.8203,0.00493,0.93444,0.85594,0.9192,0.54023,1.56251,0.61357,0.00471,0.001981,0.001981,0.001981
83,12892.2,1.761,0.82586,0.00492,0.9358,0.86173,0.92457,0.54642,1.54,0.60973,0.00461,0.001882,0.001882,0.001882
84,13034.1,1.75844,0.80692,0.00492,0.92817,0.85847,0.92185,0.54707,1.53877,0.59694,0.00465,0.001783,0.001783,0.001783
85,13166.8,1.73506,0.80653,0.00488,0.92951,0.86152,0.92291,0.54804,1.54652,0.59305,0.00464,0.001684,0.001684,0.001684
86,13299.7,1.75534,0.81848,0.00477,0.93355,0.86053,0.92344,0.54733,1.54408,0.59815,0.00458,0.001585,0.001585,0.001585
87,13436.3,1.74598,0.80789,0.00472,0.94147,0.84704,0.92159,0.55053,1.53271,0.60102,0.00451,0.001486,0.001486,0.001486
88,13568.9,1.72801,0.78546,0.00484,0.93277,0.86023,0.92296,0.55219,1.52786,0.59153,0.00454,0.001387,0.001387,0.001387
89,13701.8,1.72842,0.79537,0.00472,0.9397,0.85984,0.92186,0.54954,1.52992,0.59191,0.00456,0.001288,0.001288,0.001288
90,13834.5,1.73047,0.79954,0.00473,0.93669,0.86357,0.92382,0.55029,1.52917,0.59026,0.00453,0.001189,0.001189,0.001189
91,13974.5,1.65388,0.707,0.00596,0.93138,0.86331,0.92116,0.5419,1.54969,0.59309,0.00457,0.00109,0.00109,0.00109
92,14103.3,1.62264,0.67748,0.00586,0.93338,0.86611,0.91869,0.54504,1.53867,0.59402,0.00453,0.000991,0.000991,0.000991
93,14231.9,1.61993,0.67899,0.00586,0.93073,0.86273,0.92154,0.54989,1.533,0.59932,0.00452,0.000892,0.000892,0.000892
94,14364.3,1.60913,0.67429,0.00572,0.93627,0.86102,0.92169,0.5475,1.53137,0.60008,0.00453,0.000793,0.000793,0.000793
95,14492.8,1.57622,0.65078,0.00576,0.9412,0.86614,0.92375,0.54968,1.53244,0.59067,0.00451,0.000694,0.000694,0.000694
96,14621.3,1.598,0.65468,0.00577,0.93523,0.86926,0.92378,0.55434,1.52185,0.5847,0.00448,0.000595,0.000595,0.000595
97,14749.7,1.59581,0.64787,0.00575,0.93898,0.86966,0.92397,0.5528,1.52424,0.57579,0.00447,0.000496,0.000496,0.000496
98,14878.3,1.59139,0.66299,0.00552,0.9389,0.86629,0.92397,0.55364,1.52707,0.57774,0.00447,0.000397,0.000397,0.000397
99,15006.6,1.58182,0.65452,0.00559,0.94243,0.87259,0.92649,0.55349,1.52372,0.5783,0.00448,0.000298,0.000298,0.000298
100,15135.1,1.58429,0.65414,0.00537,0.94105,0.87493,0.92648,0.55541,1.5222,0.58562,0.00447,0.000199,0.000199,0.000199
